original_sentence_id	sentence	locale
c6efc1e62f7080264f4a7e597798c11ea04af9c80646eb3a7530120fcc1c9eca	This was the only issue of the cent denominations.	en
c6f2607a423bd2ba1b46d5d26dd96e608437965c6d958b505c705f3f930fd3a8	Time in physics is unambiguously operationally defined as "what a clock reads".	en
c6f9410fc11dd5b093d9eda9e956c71e463f9b2252aa275654e962de8796e57c	There he helped set up a website for a militant Islamic group.	en
c6fff814aa77887d973d42df3d0db6bb11e9b48756138433b8953b67481a4e24	He has also written columns on national security issues for "Just Security".	en
c7022e0b14a6b1333e205ca9a7ddb9b5fc9b6c1b61b3dfa3fd2b48b2a001eaed	It is used effectively to protect aircraft from guided missiles.	en
c70eb2890aab3099b4470d71384d931fcca950883bd63de098b752f2d43e14a5	It is currently operated by Indonesian army and navy.	en
c7116d5cbe659c4fd372cf02f9f4303f958c19ec76765e0f41bbaa0182b62c98	She put her fingers through the tear.	en
c71441a72ebe29450a382197a0500d5b91cd42ed5db96a9a6a9788b78e0a4be0	However, the airport does not currently operate public transport services.	en
c71683a3f3662b9809cf2a37eac98e7cc95ab88054a99eb571ef788428cc2462	Banister was married three times.	en
c716e75fc313d283567658c8ad1e883c0458f0a7d1049a251b0d0a2b173efe08	He has consulted on pizza projects in several countries.	en
c7180542b289a83dbc978c8916c192d0691d620a0e1332e5cde54d26965b932f	Its predecessor was the Orange River Colony.	en
c71812f3671e917499af48cb68459965cd5a46cd8dc35c40246724d05072718a	Common team sports include ice hockey, curling and bandy.	en
c718dc182420fc54eca78b184a36e7b37eed5a265db71ab4c30295a3ac36c0c6	He then was crippled by a stroke and died shortly afterwards.	en
c7197e5f4d2a4aa72163b79c7709cd1581ea9a2ec68efd112a17f9d49e803dc3	A thought came into my head.	en
c71b7a25923d164d13caa61d398d1639ec7b4ebf286ef2c1812c42176ce4a5d5	It is also used in milk to make yogurt.	en
c71bd1c7f0b66b5837778f166b21bf5fd18ebaf0869cee4516b7643569c3f127	The restaurants are well known for their "Tuesdays Were Made for Tacos"promotion.	en
c71bfd4fdebc2229658ccb8a8ec3c765f6cbf610cf25eafde36dbf24fe2dec59	The two officers would not be charged in response to this incident.	en
c71c3ee61135348d5de194c89123743039bf6be64f4c2e5b894bbb82d07ddf69	Often, this is not desirable.	en
c71ded3cb0dd06548ef90a9a51eacab63012403f0aa90a362478e447bb985171	He stood, uncertain in balance, gazing upon her.	en
c71ee74f5e110120866667f11a0cc6638f00d3f70ebe0fe2f33dc986a5d3b2bf	He followed this with three singles.	en
c71ffc93c13abe8f6dac0e3e84b067ce4b9115191e6c363a969442b7a55bbde1	She survived and now educates youths about her experiences.	en
c720c0c13e3690a10e8ae149221e05d02d71ef1a1e0ff5d69784086ca922227c	Fusion cuisine offered a new twist on many traditional food items.	en
c721c15ba8f91d65b674b0c78a0857a8db9447aa6eedbba08ce170f8feb17526	They also built a small recording studio in their mother's home on Anza Avenue.	en
c721d6300f8d820816263ccb78eb967932bb382141e04fd12decdd18ae09d9ce	Iran entered one athlete into the table tennis competition at the Games.	en
c72222c3c27d9b40c795e0440998aa0e728fbfabfb69fec75dfb48d431ecf745	It is the only Whitewater Township statewide.	en
c7222ea8db04c681e2ae064a23607639665f0103a40b69040b740c698dd8789b	Wrongs are also of two kinds and they are either public or private.	en
c7225716e6984e0b932efe931920e25b4c1cd83d858da4ec096a7727ae2c5f8f	He later studied Theater and Film at Hanyang University.	en
c722a30385b12c698884a637a065b04bc04a0a04c9475931083b2088142dc3db	After Coach Flanagan left the school, Ted Garber became head coach.	en
c7233471c2c0c94a39854237a0a28dda99bcc7a456ea2d73db23cad5cdb228cc	He decided to stay on with Ford Performance Racing, renewing his partnership with Winterbottom.	en
c72386a1c563b9abd73d3fa2b38b16ab37db6febe302929701dc877f05e4f367	She is the older sister of child actor Jacob Tremblay and Erica Tremblay.	en
c723912753806cee2ca1675aeff1d95460db8d66d037e7f9a0d802a8c07dd35e	In its history, two doctors in Franklin have been named "Doctor Death".	en
c724c761718fbf2c6c485f2a1059902a0aea27df256f0c6049d174a08bc1e413	But the Democrats made gains in five sections.	en
c725614a244ef65aed9753e9db2a2e51c776f933ed06c7b098d7676f7c3bbbea	Access is from a footbridge, so wheelchair access is impossible.	en
c726372b95f54cf6f064876161a1dc68ec991aba2048475bcfb36e82496ac45a	An unspecified amount of time later, Fred married Wilma.	en
